repeat_id,num_cells,lda1,num_measurements,gene_set_size,lda2,sparsity,best_score
1,1000,4.0,100,1000,10.0,0.02,0.8369676098324756
2,1000,4.0,100,1000,10.0,0.02,0.8400576214462381
3,1000,4.0,100,1000,10.0,0.02,0.8635474728928183
4,1000,4.0,100,1000,10.0,0.02,0.8220765661283196
5,1000,4.0,100,1000,10.0,0.02,0.8193803356956664
6,1000,4.0,100,1000,10.0,0.02,0.8813555045035151
7,1000,4.0,100,1000,10.0,0.02,0.8456867486229283
8,1000,4.0,100,1000,10.0,0.02,0.843531444115241
9,1000,4.0,100,1000,10.0,0.02,0.8300107036836524
10,1000,4.0,100,1000,10.0,0.02,0.8733235687311851
1,10000,2.0,100,1000,10.0,0.02,0.8330806589254509
2,10000,2.0,100,1000,10.0,0.02,0.8623592423333571
3,10000,2.0,100,1000,10.0,0.02,0.8439056811626383
4,10000,2.0,100,1000,10.0,0.02,0.8295059008887427
5,10000,2.0,100,1000,10.0,0.02,0.8526150636075497
6,10000,2.0,100,1000,10.0,0.02,0.8405548910997748
7,10000,2.0,100,1000,10.0,0.02,0.8690650579235627
8,10000,2.0,100,1000,10.0,0.02,0.8621939786056457
9,10000,2.0,100,1000,10.0,0.02,0.8578795071618627
10,10000,2.0,100,1000,10.0,0.02,0.8397712815198239
1,1000,2.0,100,1000,10.0,0.02,0.8308408800593293
2,1000,2.0,100,1000,10.0,0.02,0.8343081962491342
3,1000,2.0,100,1000,10.0,0.02,0.8323865718729975
4,1000,2.0,100,1000,10.0,0.02,0.8950654167607621
5,1000,2.0,100,1000,10.0,0.02,0.9089717903738814
6,1000,2.0,100,1000,10.0,0.02,0.7460152787107361
7,1000,2.0,100,1000,10.0,0.02,0.8344391749645774
8,1000,2.0,100,1000,10.0,0.02,0.8412906959818388
9,1000,2.0,100,1000,10.0,0.02,0.884598801674656
10,1000,2.0,100,1000,10.0,0.02,0.8586417510493877
1,20000,4.0,100,1000,10.0,0.02,0.7864581395315414
2,20000,4.0,100,1000,10.0,0.02,0.823232966980198
3,20000,4.0,100,1000,10.0,0.02,0.8315126953610261
4,20000,4.0,100,1000,10.0,0.02,0.8102293257058133
5,20000,4.0,100,1000,10.0,0.02,0.8273263674128378
6,20000,4.0,100,1000,10.0,0.02,0.8156112821713455
7,20000,4.0,100,1000,10.0,0.02,0.8336788516802139
8,20000,4.0,100,1000,10.0,0.02,0.8030678789525949
9,20000,4.0,100,1000,10.0,0.02,0.8318655112428665
10,20000,4.0,100,1000,10.0,0.02,0.8073700570842162
1,1000,12.0,100,1000,10.0,0.02,0.8644327785245162
