num_measurements,num_modules,lda1,lda2,sparsity,gene_set_size,avg_best_score
100,40,1,8.0,0.02,500,0.8953355846226714
100,40,1,8.0,0.02,1000,0.7788904326433556
100,40,2,8.0,0.02,1000,0.8287816223115044
100,40,2,8.0,0.02,500,0.8994129013881341
100,40,1,8.0,0.02,5000,0.7107822708819939
100,40,4,8.0,0.02,1000,0.8120693941414039
100,40,4,8.0,0.02,5000,0.7159077232747697
100,40,4,8.0,0.02,500,0.9073865085708237
100,40,2,8.0,0.02,5000,0.7139132993968615
100,40,8,8.0,0.02,500,0.9091529051606964
100,40,6,8.0,0.02,5000,0.7175804354810252
100,40,8,8.0,0.02,1000,0.8173385305291321
100,40,6,8.0,0.02,500,0.8980832352709089
100,40,6,8.0,0.02,1000,0.8282154520370459
100,40,10,8.0,0.02,1000,0.8316850061481998
100,40,10,8.0,0.02,500,0.8952028068581759
100,40,8,8.0,0.02,5000,0.7172209187311797
100,40,12,8.0,0.02,500,0.9031665244210776
100,40,12,8.0,0.02,1000,0.8115991014030547
100,40,10,8.0,0.02,5000,0.7115078688152081
100,40,14,8.0,0.02,500,0.8994785143511399
100,40,12,8.0,0.02,5000,0.7116836433428102
100,40,14,8.0,0.02,1000,0.8168647638469674
100,40,14,8.0,0.02,5000,0.7210320262190371
