num_measurements,num_modules,lda1,lda2,sparsity,gene_set_size,avg_best_score
10,40,8.0,8.0,0.02,1000,0.6146800135665835
10,40,8.0,8.0,0.02,500,0.6578470324831456
50,40,8.0,8.0,0.02,500,0.814178421210771
25,40,8.0,8.0,0.02,1000,0.6015372595091468
10,40,8.0,8.0,0.02,5000,0.6730251545498829
25,40,8.0,8.0,0.02,500,0.6563231656088211
50,40,8.0,8.0,0.02,1000,0.7134216144284953
25,40,8.0,8.0,0.02,5000,0.6271515703757217
50,40,8.0,8.0,0.02,5000,0.6114799772342956
75,40,8.0,8.0,0.02,500,0.8826909135963387
200,40,8.0,8.0,0.02,500,0.9271326447249211
100,40,8.0,8.0,0.02,1000,0.7923209049469861
100,40,8.0,8.0,0.02,5000,0.7204534088192291
200,40,8.0,8.0,0.02,1000,0.7946364479289271
350,40,8.0,8.0,0.02,500,0.9633441292711069
75,40,8.0,8.0,0.02,1000,0.8024875276137517
100,40,8.0,8.0,0.02,500,0.8698203395531753
350,40,8.0,8.0,0.02,5000,0.7738732717570055
200,40,8.0,8.0,0.02,5000,0.760053530533787
75,40,8.0,8.0,0.02,5000,0.7005731945199427
500,40,8.0,8.0,0.02,1000,0.8741815588497548
350,40,8.0,8.0,0.02,1000,0.8859024464330778
500,40,8.0,8.0,0.02,5000,0.7863231750196729
