repeat_id,num_cells,num_modules,num_measurements,gene_set_size,lda1,lda2,sparsity,best_score
1,10000,70,100,1000,8.0,10.0,0.02,0.8073258224736324
2,10000,70,100,1000,8.0,10.0,0.02,0.7475287858760484
3,10000,70,100,1000,8.0,10.0,0.02,0.8407538146763693
4,10000,70,100,1000,8.0,10.0,0.02,0.8357593238867521
5,10000,70,100,1000,8.0,10.0,0.02,0.8152336208870893
6,10000,70,100,1000,8.0,10.0,0.02,0.7626451891064272
7,10000,70,100,1000,8.0,10.0,0.02,0.8564849474631786
8,10000,70,100,1000,8.0,10.0,0.02,0.8451473043401155
9,10000,70,100,1000,8.0,10.0,0.02,0.8322153849655428
10,10000,70,100,1000,8.0,10.0,0.02,0.8349595544793
1,10000,100,100,1000,8.0,10.0,0.02,0.468476399978559
2,10000,100,100,1000,8.0,10.0,0.02,0.5686383331206432
3,10000,100,100,1000,8.0,10.0,0.02,0.8310149950580844
4,10000,100,100,1000,8.0,10.0,0.02,0.7766643471398887
5,10000,100,100,1000,8.0,10.0,0.02,0.6186596338971361
6,10000,100,100,1000,8.0,10.0,0.02,0.8551669059474079
7,10000,100,100,1000,8.0,10.0,0.02,0.8618060965767992
8,10000,100,100,1000,8.0,10.0,0.02,0.6238551793915
9,10000,100,100,1000,8.0,10.0,0.02,0.8310585943832489
10,10000,100,100,1000,8.0,10.0,0.02,0.6926961843827479
1,10000,40,100,1000,8.0,10.0,0.02,0.8432158492168492
2,10000,40,100,1000,8.0,10.0,0.02,0.8287369739049921
3,10000,40,100,1000,8.0,10.0,0.02,0.8769109593566752
4,10000,40,100,1000,8.0,10.0,0.02,0.853383881799303
5,10000,40,100,1000,8.0,10.0,0.02,0.8487887149510664
6,10000,40,100,1000,8.0,10.0,0.02,0.8585437263328906
7,10000,40,100,1000,8.0,10.0,0.02,0.8547423086217907
8,10000,40,100,1000,8.0,10.0,0.02,0.8516653313117533
9,10000,40,100,1000,8.0,10.0,0.02,0.8676586852157087
10,10000,40,100,1000,8.0,10.0,0.02,0.8577796238943272
1,20000,100,100,1000,8.0,10.0,0.02,0.8228389766347209
2,20000,100,100,1000,8.0,10.0,0.02,0.7367662147782543
3,20000,100,100,1000,8.0,10.0,0.02,0.8077911945159137
