num_measurements,num_modules,lda1,lda2,sparsity,gene_set_size,avg_best_score
100,20,8.0,8.0,0.02,500,0.8253141559720175
100,10,8.0,8.0,0.02,5000,0.7212264347087605
100,30,8.0,8.0,0.02,500,0.899466937029796
100,10,8.0,8.0,0.02,500,0.7479927989307887
100,10,8.0,8.0,0.02,1000,0.7380510050807185
100,20,8.0,8.0,0.02,1000,0.8013283051491035
100,20,8.0,8.0,0.02,5000,0.7236721075810975
100,30,8.0,8.0,0.02,1000,0.8144211173150719
100,30,8.0,8.0,0.02,5000,0.719326937407516
100,40,8.0,8.0,0.02,1000,0.8265008072434217
100,50,8.0,8.0,0.02,500,0.8807188647094545
100,50,8.0,8.0,0.02,1000,0.8247474411868392
100,60,8.0,8.0,0.02,500,0.9016048951558885
100,40,8.0,8.0,0.02,5000,0.7178322544061031
100,50,8.0,8.0,0.02,5000,0.7016192509840177
100,60,8.0,8.0,0.02,1000,0.7924585477308868
100,70,8.0,8.0,0.02,1000,0.7439353155511855
100,60,8.0,8.0,0.02,5000,0.7166560414245681
100,40,8.0,8.0,0.02,500,0.9052745858352689
100,80,8.0,8.0,0.02,500,0.8682237564345228
100,80,8.0,8.0,0.02,1000,0.49078155261271766
100,70,8.0,8.0,0.02,500,0.7397191871269514
100,70,8.0,8.0,0.02,5000,0.7036967336041975
100,80,8.0,8.0,0.02,5000,0.7176976639696987
100,90,8.0,8.0,0.02,1000,0.6466209743231677
100,90,8.0,8.0,0.02,500,0.8738435900154414
100,80,8.0,8.0,0.02,500,0.9037864746781837
100,100,8.0,8.0,0.02,500,0.855475791472624
100,80,8.0,8.0,0.02,1000,0.7720076241615024
100,100,8.0,8.0,0.02,1000,0.49359944863763056
100,90,8.0,8.0,0.02,5000,0.7059977236249917
100,120,8.0,8.0,0.02,500,0.895429544933485
100,80,8.0,8.0,0.02,5000,0.7142690515764161
100,120,8.0,8.0,0.02,1000,0.24865307864732986
100,100,8.0,8.0,0.02,5000,0.7060702543616
100,120,8.0,8.0,0.02,5000,0.6983335354497957
