num_measurements,num_modules,lda1,lda2,sparsity,gene_set_size,avg_best_score
10,40,8.0,0.8,0.02,1000,0.5861801055149469
10,40,8.0,0.8,0.02,500,0.5144953294291373
25,40,8.0,0.8,0.02,500,0.5795742420765803
25,40,8.0,0.8,0.02,1000,0.6241849963538217
25,40,8.0,0.8,0.02,5000,0.6039018549156537
50,40,8.0,0.8,0.02,1000,0.6295957058235623
10,40,8.0,0.8,0.02,5000,0.5923869233934358
50,40,8.0,0.8,0.02,500,0.5914776994429172
75,40,8.0,0.8,0.02,500,0.6296422127333692
75,40,8.0,0.8,0.02,1000,0.6761678534905378
50,40,8.0,0.8,0.02,5000,0.6009827021596836
75,40,8.0,0.8,0.02,5000,0.6234616814118762
100,40,8.0,0.8,0.02,500,0.6566438956048337
100,40,8.0,0.8,0.02,1000,0.6992319394125779
100,40,8.0,0.8,0.02,5000,0.6455916233909442
200,40,8.0,0.8,0.02,500,0.6990742107753269
200,40,8.0,0.8,0.02,1000,0.7475893584782503
350,40,8.0,0.8,0.02,500,0.7322967378299745
350,40,8.0,0.8,0.02,1000,0.7592716685029849
500,40,8.0,0.8,0.02,1000,0.7624364090888558
350,40,8.0,0.8,0.02,5000,0.7147012882267215
200,40,8.0,0.8,0.02,5000,0.6920871476817323
500,40,8.0,0.8,0.02,5000,0.7174300343099469
