num_measurements,num_modules,lda1,lda2,sparsity,gene_set_size,avg_best_score
200,40,8.0,0.2,0.02,1000,0.6463915355512369
200,40,8.0,0.4,0.02,1000,0.7038774873718708
200,40,8.0,0.3,0.02,1000,0.6621912467381535
200,40,8.0,0.8,0.02,1000,0.7613460980675948
200,40,8.0,0.6,0.02,1000,0.6855835736232339
200,40,8.0,0.5,0.02,1000,0.701518690804992
200,40,8.0,1.2,0.02,1000,0.7868804376093412
200,40,8.0,1.0,0.02,1000,0.7483737009005778
200,40,8.0,1.5,0.02,1000,0.7997383946099169
200,40,8.0,3.2,0.02,1000,0.8231057842533325
200,40,8.0,2.5,0.02,1000,0.7923875171676258
200,40,8.0,2.0,0.02,1000,0.835013545804709
200,40,8.0,4.0,0.02,1000,0.85457011849657
200,40,8.0,5.0,0.02,1000,0.8378075180245429
200,40,8.0,6.5,0.02,1000,0.8512765879280938
200,40,8.0,12.5,0.02,1000,0.8942474550373444
200,40,8.0,10.0,0.02,1000,0.004757681780420487
200,40,8.0,8.0,0.02,1000,0.8752841059645817
200,40,8.0,16.0,0.02,1000,0.009300605598304604
200,40,8.0,14.0,0.02,1000,0.8863746095626348
200,40,8.0,18.0,0.02,1000,0.8510835202049712
200,40,8.0,20.0,0.02,1000,0.86865433157416
