num_measurements,num_modules,lda1,lda2,sparsity,gene_set_size,avg_best_score
10,40,8.0,8.0,0.02,500,0.6600722206452552
10,40,8.0,8.0,0.02,1000,0.6439394160973001
25,40,8.0,8.0,0.02,1000,0.6261231349980514
25,40,8.0,8.0,0.02,500,0.653206604597691
50,40,8.0,8.0,0.02,500,0.816613488007099
10,40,8.0,8.0,0.02,5000,0.6681193056522107
75,40,8.0,8.0,0.02,500,0.8285686556034367
50,40,8.0,8.0,0.02,1000,0.7124153597207129
50,40,8.0,8.0,0.02,5000,0.6219520747304722
75,40,8.0,8.0,0.02,1000,0.7921143987908917
100,40,8.0,8.0,0.02,500,0.8915450582270698
100,40,8.0,8.0,0.02,1000,0.8345834177668554
200,40,8.0,8.0,0.02,500,0.9467937615644596
100,40,8.0,8.0,0.02,5000,0.7135860330373454
25,40,8.0,8.0,0.02,5000,0.6483541931666962
200,40,8.0,8.0,0.02,1000,0.8631740916881918
350,40,8.0,8.0,0.02,500,0.9578212624526314
350,40,8.0,8.0,0.02,5000,0.7766748909388841
200,40,8.0,8.0,0.02,5000,0.752733911279007
500,40,8.0,8.0,0.02,1000,0.8070423263345547
75,40,8.0,8.0,0.02,5000,0.6878408626854577
350,40,8.0,8.0,0.02,1000,0.880863732977201
500,40,8.0,8.0,0.02,5000,0.7835660597297236
